test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_error,single_func_error,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users
11,250,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
4,75,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
12,275,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
8,175,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
9,200,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
6,125,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
7,150,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
5,100,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
2,25,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
3,50,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
10,225,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
13,300,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-426.2564102564103,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255
