test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users,single_func_nodes,single_func_avg_modules
1,0,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,-93.0,1,2,1.0,93.0,91.0,2.0,-93.0,1,2,1.0,415.6,405.6,10.0,-415.6,1,2,1.0,93.0,91.0,2.0,-93.0,1,2,1.0,93.0,91.0,2.0,-93.0,1,2,1.0
2,25,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,-68.0,1,2,1.0,93.0,91.0,2.0,-68.0,1,2,1.0,415.6,405.6,10.0,-390.6,1,2,1.0,93.0,91.0,2.0,-68.0,1,2,1.0,93.0,91.0,2.0,-68.0,1,2,1.0
3,50,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,-43.0,1,2,1.0,93.0,91.0,2.0,-43.0,1,2,1.0,415.6,405.6,10.0,-365.6,1,2,1.0,93.0,91.0,2.0,-43.0,1,2,1.0,93.0,91.0,2.0,-43.0,1,2,1.0
6,125,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,32.0,1,2,1.0,93.0,91.0,2.0,32.0,1,2,1.0,415.6,405.6,10.0,-290.6,1,2,1.0,93.0,91.0,2.0,32.0,1,2,1.0,93.0,91.0,2.0,32.0,1,2,1.0
7,150,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,57.0,1,2,1.0,93.0,91.0,2.0,57.0,1,2,1.0,415.6,405.6,10.0,-265.6,1,2,1.0,93.0,91.0,2.0,57.0,1,2,1.0,93.0,91.0,2.0,57.0,1,2,1.0
8,175,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,82.0,1,2,1.0,93.0,91.0,2.0,82.0,1,2,1.0,415.6,405.6,10.0,-240.60000000000002,1,2,1.0,93.0,91.0,2.0,82.0,1,2,1.0,93.0,91.0,2.0,82.0,1,2,1.0
4,75,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,-18.0,1,2,1.0,93.0,91.0,2.0,-18.0,1,2,1.0,415.6,405.6,10.0,-340.6,1,2,1.0,93.0,91.0,2.0,-18.0,1,2,1.0,93.0,91.0,2.0,-18.0,1,2,1.0
9,200,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,107.0,1,2,1.0,93.0,91.0,2.0,107.0,1,2,1.0,415.6,405.6,10.0,-215.60000000000002,1,2,1.0,93.0,91.0,2.0,107.0,1,2,1.0,93.0,91.0,2.0,107.0,1,2,1.0
10,225,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,132.0,1,2,1.0,93.0,91.0,2.0,132.0,1,2,1.0,415.6,405.6,10.0,-190.60000000000002,1,2,1.0,93.0,91.0,2.0,132.0,1,2,1.0,93.0,91.0,2.0,132.0,1,2,1.0
13,300,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,207.0,1,2,1.0,93.0,91.0,2.0,207.0,1,2,1.0,415.6,405.6,10.0,-115.60000000000002,1,2,1.0,93.0,91.0,2.0,207.0,1,2,1.0,93.0,91.0,2.0,207.0,1,2,1.0
