test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
1,0,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,-93.0,1,2,1.0,93.0,91.0,2.0,-93.0,1,2,1.0,415.6,405.6,10.0,-415.6,1,2,1.0,93.0,91.0,2.0,-93.0,1,2,1.0,93.0,91.0,2.0,-93.0,1,2,1.0,93.0,-93.0,91.0,2.0,93.0,-93.0,91.0,2.0,415.6,-415.6,405.6,10.0,93.0,-93.0,91.0,2.0,93.0,-93.0,91.0,2.0
2,50,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,-43.0,1,2,1.0,93.0,91.0,2.0,-43.0,1,2,1.0,415.6,405.6,10.0,-365.6,1,2,1.0,93.0,91.0,2.0,-43.0,1,2,1.0,93.0,91.0,2.0,-43.0,1,2,1.0,93.0,-43.0,91.0,2.0,93.0,-43.0,91.0,2.0,415.6,-365.6,405.6,10.0,93.0,-43.0,91.0,2.0,93.0,-43.0,91.0,2.0
3,100,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,7.0,1,2,1.0,93.0,91.0,2.0,7.0,1,2,1.0,415.6,405.6,10.0,-315.6,1,2,1.0,93.0,91.0,2.0,7.0,1,2,1.0,93.0,91.0,2.0,7.0,1,2,1.0,93.0,7.0,91.0,2.0,93.0,7.0,91.0,2.0,415.6,-315.6,405.6,10.0,93.0,7.0,91.0,2.0,93.0,7.0,91.0,2.0
4,150,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,57.0,1,2,1.0,93.0,91.0,2.0,57.0,1,2,1.0,415.6,405.6,10.0,-265.6,1,2,1.0,93.0,91.0,2.0,57.0,1,2,1.0,93.0,91.0,2.0,57.0,1,2,1.0,93.0,57.0,91.0,2.0,93.0,57.0,91.0,2.0,415.6,-265.6,405.6,10.0,93.0,57.0,91.0,2.0,93.0,57.0,91.0,2.0
5,200,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,107.0,1,2,1.0,93.0,91.0,2.0,107.0,1,2,1.0,415.6,405.6,10.0,-215.6,1,2,1.0,93.0,91.0,2.0,107.0,1,2,1.0,93.0,91.0,2.0,107.0,1,2,1.0,93.0,107.0,91.0,2.0,93.0,107.0,91.0,2.0,415.6,-215.6,405.6,10.0,93.0,107.0,91.0,2.0,93.0,107.0,91.0,2.0
6,250,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,157.0,1,2,1.0,93.0,91.0,2.0,157.0,1,2,1.0,415.6,405.6,10.0,-165.60000000000002,1,2,1.0,93.0,91.0,2.0,157.0,1,2,1.0,93.0,91.0,2.0,157.0,1,2,1.0,93.0,157.0,91.0,2.0,93.0,157.0,91.0,2.0,415.6,-165.60000000000002,405.6,10.0,93.0,157.0,91.0,2.0,93.0,157.0,91.0,2.0
7,300,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,207.0,1,2,1.0,93.0,91.0,2.0,207.0,1,2,1.0,415.6,405.6,10.0,-115.60000000000002,1,2,1.0,93.0,91.0,2.0,207.0,1,2,1.0,93.0,91.0,2.0,207.0,1,2,1.0,93.0,207.0,91.0,2.0,93.0,207.0,91.0,2.0,415.6,-115.60000000000002,405.6,10.0,93.0,207.0,91.0,2.0,93.0,207.0,91.0,2.0
8,350,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,257.0,1,2,1.0,93.0,91.0,2.0,257.0,1,2,1.0,415.6,405.6,10.0,-65.60000000000002,1,2,1.0,93.0,91.0,2.0,257.0,1,2,1.0,93.0,91.0,2.0,257.0,1,2,1.0,93.0,257.0,91.0,2.0,93.0,257.0,91.0,2.0,415.6,-65.60000000000002,405.6,10.0,93.0,257.0,91.0,2.0,93.0,257.0,91.0,2.0
9,400,13000000000,2,5,100,0.004,0.001,0.1,7800,23400,93.0,91.0,2.0,307.0,1,2,1.0,93.0,91.0,2.0,307.0,1,2,1.0,415.6,405.6,10.0,-15.600000000000025,1,2,1.0,93.0,91.0,2.0,307.0,1,2,1.0,93.0,91.0,2.0,307.0,1,2,1.0,93.0,307.0,91.0,2.0,93.0,307.0,91.0,2.0,415.6,-15.600000000000025,405.6,10.0,93.0,307.0,91.0,2.0,93.0,307.0,91.0,2.0
10,0,13000000000,2,5,100,0.004,0.001,0.1,7800,27300,93.0,91.0,2.0,-93.0,1,2,1.0,93.0,91.0,2.0,-93.0,1,2,1.0,415.6,405.6,10.0,-415.6,1,2,1.0,93.0,91.0,2.0,-93.0,1,2,1.0,93.0,91.0,2.0,-93.0,1,2,1.0,93.0,-93.0,91.0,2.0,93.0,-93.0,91.0,2.0,415.6,-415.6,405.6,10.0,93.0,-93.0,91.0,2.0,93.0,-93.0,91.0,2.0
