test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
6,125,13000000000,5,5,100,0.004,0.001,0.1,3900,11700,197.1,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,197.1,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-362.2800000000001,1.2,5,1.0,197.1,163.02000000000004,34.08,-47.10000000000002,1.2,5,1.0,197.1,163.02,34.08,-47.10000000000002,1.2,5,1.0,164.25,-39.25000000000002,135.85000000000005,28.4,164.25,-39.25000000000002,135.85000000000005,28.4,426.9000000000001,-301.9000000000001,396.50000000000006,30.4,164.25,-39.25000000000002,135.85000000000005,28.4,164.25,-39.25000000000002,135.85000000000002,28.4
8,175,13000000000,5,5,100,0.004,0.001,0.1,3900,11700,197.1,163.02000000000004,34.08,12.899999999999975,1.2,5,1.0,197.1,163.02000000000004,34.08,12.899999999999975,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-302.2800000000001,1.2,5,1.0,197.1,163.02000000000004,34.08,12.899999999999975,1.2,5,1.0,197.1,163.02,34.08,12.899999999999975,1.2,5,1.0,164.25,10.74999999999998,135.85000000000005,28.4,164.25,10.74999999999998,135.85000000000005,28.4,426.9000000000001,-251.9000000000001,396.50000000000006,30.4,164.25,10.74999999999998,135.85000000000005,28.4,164.25,10.74999999999998,135.85000000000002,28.4
10,0,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.1,163.02000000000004,34.08,-197.1,1.2,5,1.0,197.1,163.02000000000004,34.08,-197.1,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-512.2800000000001,1.2,5,1.0,197.1,163.02000000000004,34.08,-197.1,1.2,5,1.0,197.1,163.02,34.08,-197.1,1.2,5,1.0,164.25,-164.25,135.85000000000005,28.4,164.25,-164.25,135.85000000000005,28.4,426.9000000000001,-426.9000000000001,396.50000000000006,30.4,164.25,-164.25,135.85000000000005,28.4,164.25,-164.25,135.85000000000002,28.4
7,150,13000000000,5,5,100,0.004,0.001,0.1,3900,11700,197.1,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.1,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-332.2800000000001,1.2,5,1.0,197.1,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.1,163.02,34.08,-17.100000000000023,1.2,5,1.0,164.25,-14.25000000000002,135.85000000000005,28.4,164.25,-14.25000000000002,135.85000000000005,28.4,426.9000000000001,-276.9000000000001,396.50000000000006,30.4,164.25,-14.25000000000002,135.85000000000005,28.4,164.25,-14.25000000000002,135.85000000000002,28.4
9,200,13000000000,5,5,100,0.004,0.001,0.1,3900,11700,197.1,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,197.1,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-272.2800000000001,1.2,5,1.0,197.1,163.02000000000004,34.08,42.89999999999998,1.2,5,1.0,197.1,163.02,34.08,42.89999999999998,1.2,5,1.0,164.25,35.749999999999986,135.85000000000005,28.4,164.25,35.749999999999986,135.85000000000005,28.4,426.9000000000001,-226.9000000000001,396.50000000000006,30.4,164.25,35.749999999999986,135.85000000000005,28.4,164.25,35.749999999999986,135.85000000000002,28.4
14,100,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.1,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,197.1,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-392.2800000000001,1.2,5,1.0,197.1,163.02000000000004,34.08,-77.10000000000002,1.2,5,1.0,197.1,163.02,34.08,-77.10000000000002,1.2,5,1.0,164.25,-64.25000000000003,135.85000000000005,28.4,164.25,-64.25000000000003,135.85000000000005,28.4,426.9000000000001,-326.9000000000001,396.50000000000006,30.4,164.25,-64.25000000000003,135.85000000000005,28.4,164.25,-64.25000000000003,135.85000000000002,28.4
11,25,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.1,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.1,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-482.2800000000001,1.2,5,1.0,197.1,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.1,163.02,34.08,-167.10000000000002,1.2,5,1.0,164.25,-139.25000000000003,135.85000000000005,28.4,164.25,-139.25000000000003,135.85000000000005,28.4,426.9000000000001,-401.9000000000001,396.50000000000006,30.4,164.25,-139.25000000000003,135.85000000000005,28.4,164.25,-139.25000000000003,135.85000000000002,28.4
20,25,13000000000,5,5,100,0.004,0.001,0.1,3900,19500,197.1,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.1,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-482.2800000000001,1.2,5,1.0,197.1,163.02000000000004,34.08,-167.10000000000002,1.2,5,1.0,197.1,163.02,34.08,-167.10000000000002,1.2,5,1.0,164.25,-139.25000000000003,135.85000000000005,28.4,164.25,-139.25000000000003,135.85000000000005,28.4,426.9000000000001,-401.9000000000001,396.50000000000006,30.4,164.25,-139.25000000000003,135.85000000000005,28.4,164.25,-139.25000000000003,135.85000000000002,28.4
12,50,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.1,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,197.1,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-452.2800000000001,1.2,5,1.0,197.1,163.02000000000004,34.08,-137.10000000000002,1.2,5,1.0,197.1,163.02,34.08,-137.10000000000002,1.2,5,1.0,164.25,-114.25000000000003,135.85000000000005,28.4,164.25,-114.25000000000003,135.85000000000005,28.4,426.9000000000001,-376.9000000000001,396.50000000000006,30.4,164.25,-114.25000000000003,135.85000000000005,28.4,164.25,-114.25000000000003,135.85000000000002,28.4
16,150,13000000000,5,5,100,0.004,0.001,0.1,3900,15600,197.1,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.1,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,512.2800000000001,475.80000000000007,36.48,-332.2800000000001,1.2,5,1.0,197.1,163.02000000000004,34.08,-17.100000000000023,1.2,5,1.0,197.1,163.02,34.08,-17.100000000000023,1.2,5,1.0,164.25,-14.25000000000002,135.85000000000005,28.4,164.25,-14.25000000000002,135.85000000000005,28.4,426.9000000000001,-276.9000000000001,396.50000000000006,30.4,164.25,-14.25000000000002,135.85000000000005,28.4,164.25,-14.25000000000002,135.85000000000002,28.4
