test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
12,50,13000000000,6,5,100,0.004,0.001,0.1,2600,11700,168.8,130.0,38.8,-118.8,1.0,6,1.0,168.8,130.0,38.8,-118.8,1.0,6,1.0,435.9000000000001,378.30000000000007,57.6,-385.9000000000001,1.0,6,1.0,168.8,130.0,38.8,-118.8,1.0,6,1.0,168.8,130.0,38.8,-118.8,1.0,6,1.0,168.8,-118.8,130.0,38.8,168.8,-118.8,130.0,38.8,435.9000000000001,-385.9000000000001,378.30000000000007,57.6,168.8,-118.8,130.0,38.8,168.8,-118.8,130.0,38.8
6,125,13000000000,6,5,100,0.004,0.001,0.1,2600,7800,168.8,130.0,38.8,-43.80000000000001,1.0,6,1.0,168.8,130.0,38.8,-43.80000000000001,1.0,6,1.0,435.9000000000001,378.30000000000007,57.6,-310.9000000000001,1.0,6,1.0,168.8,130.0,38.8,-43.80000000000001,1.0,6,1.0,168.8,130.0,38.8,-43.80000000000001,1.0,6,1.0,168.8,-43.80000000000001,130.0,38.8,168.8,-43.80000000000001,130.0,38.8,435.9000000000001,-310.9000000000001,378.30000000000007,57.6,168.8,-43.80000000000001,130.0,38.8,168.8,-43.80000000000001,130.0,38.8
14,100,13000000000,6,5,100,0.004,0.001,0.1,2600,11700,168.8,130.0,38.8,-68.80000000000001,1.0,6,1.0,168.8,130.0,38.8,-68.80000000000001,1.0,6,1.0,435.9000000000001,378.30000000000007,57.6,-335.9000000000001,1.0,6,1.0,168.8,130.0,38.8,-68.80000000000001,1.0,6,1.0,168.8,130.0,38.8,-68.80000000000001,1.0,6,1.0,168.8,-68.80000000000001,130.0,38.8,168.8,-68.80000000000001,130.0,38.8,435.9000000000001,-335.9000000000001,378.30000000000007,57.6,168.8,-68.80000000000001,130.0,38.8,168.8,-68.80000000000001,130.0,38.8
13,75,13000000000,6,5,100,0.004,0.001,0.1,2600,11700,168.8,130.0,38.8,-93.8,1.0,6,1.0,168.8,130.0,38.8,-93.8,1.0,6,1.0,435.9000000000001,378.30000000000007,57.6,-360.9000000000001,1.0,6,1.0,168.8,130.0,38.8,-93.8,1.0,6,1.0,168.8,130.0,38.8,-93.8,1.0,6,1.0,168.8,-93.8,130.0,38.8,168.8,-93.8,130.0,38.8,435.9000000000001,-360.9000000000001,378.30000000000007,57.6,168.8,-93.8,130.0,38.8,168.8,-93.8,130.0,38.8
17,175,13000000000,6,5,100,0.004,0.001,0.1,2600,11700,168.8,130.0,38.8,6.199999999999989,1.0,6,1.0,168.8,130.0,38.8,6.199999999999989,1.0,6,1.0,435.9000000000001,378.30000000000007,57.6,-260.9000000000001,1.0,6,1.0,168.8,130.0,38.8,6.199999999999989,1.0,6,1.0,168.8,130.0,38.8,6.199999999999989,1.0,6,1.0,168.8,6.199999999999989,130.0,38.8,168.8,6.199999999999989,130.0,38.8,435.9000000000001,-260.9000000000001,378.30000000000007,57.6,168.8,6.199999999999989,130.0,38.8,168.8,6.199999999999989,130.0,38.8
20,25,13000000000,6,5,100,0.004,0.001,0.1,2600,15600,168.8,130.0,38.8,-143.8,1.0,6,1.0,168.8,130.0,38.8,-143.8,1.0,6,1.0,435.9000000000001,378.30000000000007,57.6,-410.9000000000001,1.0,6,1.0,168.8,130.0,38.8,-143.8,1.0,6,1.0,168.8,130.0,38.8,-143.8,1.0,6,1.0,168.8,-143.8,130.0,38.8,168.8,-143.8,130.0,38.8,435.9000000000001,-410.9000000000001,378.30000000000007,57.6,168.8,-143.8,130.0,38.8,168.8,-143.8,130.0,38.8
7,150,13000000000,6,5,100,0.004,0.001,0.1,2600,7800,168.8,130.0,38.8,-18.80000000000001,1.0,6,1.0,168.8,130.0,38.8,-18.80000000000001,1.0,6,1.0,435.9000000000001,378.30000000000007,57.6,-285.9000000000001,1.0,6,1.0,168.8,130.0,38.8,-18.80000000000001,1.0,6,1.0,168.8,130.0,38.8,-18.80000000000001,1.0,6,1.0,168.8,-18.80000000000001,130.0,38.8,168.8,-18.80000000000001,130.0,38.8,435.9000000000001,-285.9000000000001,378.30000000000007,57.6,168.8,-18.80000000000001,130.0,38.8,168.8,-18.80000000000001,130.0,38.8
9,200,13000000000,6,5,100,0.004,0.001,0.1,2600,7800,168.8,130.0,38.8,31.19999999999999,1.0,6,1.0,168.8,130.0,38.8,31.19999999999999,1.0,6,1.0,435.9000000000001,378.30000000000007,57.6,-235.9000000000001,1.0,6,1.0,168.8,130.0,38.8,31.19999999999999,1.0,6,1.0,168.8,130.0,38.8,31.19999999999999,1.0,6,1.0,168.8,31.19999999999999,130.0,38.8,168.8,31.19999999999999,130.0,38.8,435.9000000000001,-235.9000000000001,378.30000000000007,57.6,168.8,31.19999999999999,130.0,38.8,168.8,31.19999999999999,130.0,38.8
10,0,13000000000,6,5,100,0.004,0.001,0.1,2600,11700,168.8,130.0,38.8,-168.8,1.0,6,1.0,168.8,130.0,38.8,-168.8,1.0,6,1.0,435.9000000000001,378.30000000000007,57.6,-435.9000000000001,1.0,6,1.0,168.8,130.0,38.8,-168.8,1.0,6,1.0,168.8,130.0,38.8,-168.8,1.0,6,1.0,168.8,-168.8,130.0,38.8,168.8,-168.8,130.0,38.8,435.9000000000001,-435.9000000000001,378.30000000000007,57.6,168.8,-168.8,130.0,38.8,168.8,-168.8,130.0,38.8
11,25,13000000000,6,5,100,0.004,0.001,0.1,2600,11700,168.8,130.0,38.8,-143.8,1.0,6,1.0,168.8,130.0,38.8,-143.8,1.0,6,1.0,435.9000000000001,378.30000000000007,57.6,-410.9000000000001,1.0,6,1.0,168.8,130.0,38.8,-143.8,1.0,6,1.0,168.8,130.0,38.8,-143.8,1.0,6,1.0,168.8,-143.8,130.0,38.8,168.8,-143.8,130.0,38.8,435.9000000000001,-410.9000000000001,378.30000000000007,57.6,168.8,-143.8,130.0,38.8,168.8,-143.8,130.0,38.8
