test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_error,single_func_error,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users
1,200,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
2,225,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
3,250,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
4,275,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
6,325,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
7,350,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
8,375,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
5,300,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
9,400,13000000000,2,5,100,0.004,0.001,0.1,8000,20000,无法找到有效的多功能部署方案,无法找到有效的单功能部署方案,,,,,,,,,,,,,,,,,,,,,,,,,
10,200,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-221.12820512820517,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255
11,225,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-195.48717948717953,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255
12,250,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-169.84615384615387,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255
13,275,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-144.20512820512823,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255
14,300,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-118.5641025641026,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255
15,325,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-92.92307692307696,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255
16,350,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-67.28205128205133,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255
17,375,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-41.64102564102569,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255
