computation_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
8000,99.11544540115968,58.433355004783586,1.0503253360396216,95.57960557960557,3.535839821554107,158.0405775746435,82.72722198436485,1.3969075287756607,139.78922876065732,18.25134881398618,868.6347113204256,-565.5996511425083,2.020233734519449,797.7868480725623,70.84786324786326,290.48595848595846,12.549101691958858,2.020233734519449,239.7106575963719,50.77530088958661,290.4859584859585,12.54910169195884,2.020233734519449,239.7106575963719,50.77530088958661,94.32244897959183,55.677551020408174,90.99999999999999,3.322448979591837,105.72244897959183,44.277551020408175,96.08163265306122,9.640816326530613,428.04897959183677,-278.04897959183677,398.1714285714286,29.87755102040817,133.70408163265304,16.295918367346953,112.88775510204081,20.816326530612248,133.70408163265307,16.295918367346946,112.88775510204081,20.816326530612248
10000,102.63225512205103,60.706673523000056,1.0889261909670072,99.09228337799766,3.539971744053377,185.20408450204368,102.92357654555457,1.6287092174062345,163.46026248883393,21.74382201320977,1046.7806035234607,-681.5791383219955,2.434676434676435,961.4875283446713,85.29307517878948,349.8977847549276,15.303680446537587,2.434676434676435,288.78820861678,61.109576138147574,349.8977847549276,15.303680446537586,2.434676434676435,288.78820861678,61.109576138147574,94.25714285714285,55.74285714285715,90.99999999999999,3.2571428571428576,105.70737833594977,44.29262166405024,96.08163265306122,9.62574568288854,428.04897959183677,-278.04897959183677,398.1714285714286,29.87755102040817,133.70408163265307,16.295918367346935,112.88775510204081,20.816326530612244,133.70408163265307,16.295918367346935,112.88775510204081,20.816326530612244
12000,112.05545297261982,67.562514760594,1.1974531182214254,108.96823375814974,3.0872192144701147,214.13763361983882,122.1065429189171,1.8813574833521272,189.0283347527045,25.10929886713431,1224.9264957264957,-797.5586255014825,2.8491191348334204,1125.18820861678,99.73828710971569,409.3096110238967,18.058259201116343,2.8491191348334204,337.8657596371882,71.44385138670853,409.3096110238967,18.058259201116343,2.8491191348334204,337.8657596371882,71.44385138670853,93.60408163265306,56.395918367346944,91.00000000000001,2.6040816326530614,105.52653061224491,44.4734693877551,96.08163265306123,9.444897959183674,428.04897959183677,-278.0489795918367,398.1714285714286,29.877551020408163,133.70408163265307,16.295918367346943,112.88775510204081,20.816326530612248,133.70408163265307,16.295918367346943,112.88775510204081,20.816326530612248
14000,100.2361098507557,62.782910611241945,1.086793469746651,98.89820574694524,1.3379041038104664,232.25074280469977,141.82766371437532,2.030787884883369,204.7740680110428,27.476674793656976,1373.3814058956916,-894.2081981510552,3.1944880516309087,1261.6054421768706,111.77596371882088,458.81946624803766,20.35374149659863,3.1944880516309087,378.76371882086164,80.05574742717602,458.81946624803766,20.353741496598662,3.1944880516309087,378.76371882086164,80.05574742717602,92.17551020408163,57.82448979591836,91.0,1.1755102040816328,105.08697017268445,44.91302982731555,96.08163265306122,9.005337519623234,428.04897959183666,-278.0489795918367,398.1714285714285,29.877551020408163,133.70408163265307,16.29591836734694,112.88775510204081,20.816326530612244,133.70408163265304,16.295918367346946,112.88775510204081,20.816326530612244
16000,108.09325270789857,67.8771021340049,1.173135698946023,106.7553486040881,1.3379041038104664,250.06393364316534,153.12629511960014,2.19363053673701,220.77579485562677,29.288138787538546,1467.3441479155765,-955.243153671725,3.4140066282923427,1349.4047619047617,117.93938601081459,488.62375719518576,23.477237048665643,3.4140066282923427,404.0011337868481,84.6226234083377,488.62375719518576,23.47723704866562,3.4140066282923427,404.0011337868481,84.6226234083377,92.17551020408163,57.824489795918375,91.0,1.1755102040816328,105.08697017268445,44.91302982731555,96.08163265306122,9.005337519623234,428.04897959183677,-278.04897959183677,398.1714285714286,29.877551020408163,133.70408163265307,16.295918367346946,112.88775510204081,20.816326530612248,133.70408163265307,16.295918367346943,112.88775510204081,20.816326530612248
18000,114.28372889837475,71.89070757618177,1.241162909830377,112.94582479456429,1.3379041038104664,256.86898280645624,162.16318354078996,2.294958652193854,228.05400553383748,28.81497727261879,1535.386987615559,-1000.0259201116345,3.5690737833594977,1411.813378684807,123.57360893075179,509.3221698935985,26.24821210535494,3.570469213326356,421.7412698412698,87.58090005232863,509.3221698935984,26.248212105354966,3.570469213326356,421.7412698412698,87.58090005232863,92.17551020408163,57.824489795918375,91.0,1.1755102040816328,104.41004709576137,45.58995290423862,95.59183673469387,8.818210361067505,428.37551020408165,-278.37551020408165,398.1714285714286,30.204081632653068,133.70408163265307,16.295918367346935,112.88775510204081,20.816326530612248,133.70408163265307,16.29591836734694,112.88775510204081,20.816326530612248
20000,119.99801461266047,75.5955741381912,1.3039572583390109,118.66011050885,1.3379041038104664,267.46603703427974,171.06844803035588,2.408220586491895,237.38878504004558,30.07725199423417,1596.9302150840613,-1040.5008385997396,3.7122126957291792,1470.2167277167277,126.71348736733353,527.4986917844061,29.73574045002617,3.7148962148962155,442.53854875283446,84.96014303157162,528.4283969998255,28.80603523460667,3.7148962148962155,438.11678004535145,90.3116169544741,92.17551020408163,57.824489795918375,91.00000000000001,1.1755102040816328,104.12778649921509,45.87221350078493,95.28571428571429,8.842072213500785,428.4552590266876,-278.4552590266876,398.3265306122449,30.1287284144427,133.53673469387758,16.463265306122448,113.68367346938776,19.8530612244898,133.70408163265307,16.295918367346943,112.88775510204081,20.816326530612248
22000,124.04563366027953,78.21985461961452,1.3484365885326268,122.70772955646906,1.3379041038104664,273.43339203886,177.07043582321884,2.4813072329694363,243.02701288363053,30.406379155229466,1632.855940305116,-1064.9318771887454,3.7868313005675645,1508.1590572126286,124.6968830924875,529.7770691609977,38.34825789290075,3.787502180359323,441.4811507936508,88.29591836734696,537.0843253968253,31.04100165707309,3.787502180359323,445.68183106575964,91.40249433106577,92.17551020408163,57.824489795918375,91.0,1.1755102040816328,103.84874411302982,46.151255886970176,95.07448979591837,8.774254317111462,429.1729984301413,-279.1729984301413,399.72244897959183,29.45054945054945,132.38877551020408,17.61122448979592,112.13163265306123,20.25714285714286,133.70408163265307,16.29591836734694,112.88775510204081,20.816326530612248
24000,126.4265860412319,79.76354902045179,1.3746009004112245,125.08868193742143,1.3379041038104664,276.8585372538404,180.7642182530688,2.5250925946511873,246.28836462712516,30.570172626715248,1649.407142809223,-1075.8496062414822,3.825196040659149,1523.6892209264659,125.71792188275707,534.300006541078,39.71229068550498,3.8267486481772193,445.4607426303855,88.8392639106925,541.6072627769056,32.405034449677316,3.8267486481772193,449.66142290249434,91.94583987441132,92.17551020408163,57.824489795918375,91.0,1.1755102040816328,103.66271585557298,46.337284144427,94.93367346938776,8.729042386185244,429.20659340659336,-279.2065934065934,399.7183673469388,29.488226059654632,132.38877551020408,17.611224489795923,112.13163265306123,20.25714285714286,133.70408163265307,16.295918367346943,112.88775510204081,20.816326530612248
26000,127.14087175551761,80.22665734070296,1.3824501939748037,125.80296765170715,1.3379041038104664,278.43458794307793,181.89442912017134,2.5401301473653493,247.70387768549537,30.730710257582547,1654.9578711450768,-1079.923440635764,3.8354197694857035,1527.7649136577709,127.192957487306,535.656887755102,40.121500523286244,3.838522588522588,446.6546201814059,89.00226757369614,542.9641439909296,32.81424428745858,3.838522588522588,450.8553004535147,92.10884353741497,92.17551020408163,57.824489795918375,91.0,1.1755102040816328,103.66271585557298,46.337284144427,94.93367346938776,8.729042386185244,429.4218210361068,-279.4218210361068,399.7040816326531,29.71773940345369,132.38877551020408,17.61122448979592,112.13163265306123,20.25714285714286,133.70408163265307,16.295918367346943,112.88775510204081,20.816326530612248
