memory_ability,multi_func_min_cost_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_profit_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_worst_profit_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_max_users_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,single_func_cost,single_func_profit,single_func_users,single_func_deploy_cost,single_func_comm_cost,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
20000,111.33903133903134,56.3960113960114,1.1182336182336183,101.75925925925927,9.57977207977208,156.7563006793776,68.68474687705458,1.343962305500767,135.45441595441596,21.30188472496165,820.4829059829059,-535.2264957264957,1.9017094017094018,748.8888888888888,71.5940170940171,283.37606837606836,1.880341880341867,1.9017094017094018,231.0555555555556,52.320512820512825,283.37606837606836,1.8803418803418805,1.9017094017094018,231.05555555555557,52.320512820512825,99.3,50.70000000000001,91.0,8.3,110.64807692307693,39.351923076923086,97.225,13.423076923076925,430.85,-280.85,396.5,34.35000000000001,142.8625,7.137499999999995,117.81250000000001,25.050000000000004,142.8625,7.137500000000002,117.81250000000001,25.050000000000004
24000,98.02890442890443,58.61445221445222,1.0442890442890442,95.03030303030302,2.998601398601399,158.15473552088935,83.97544199390353,1.40161377084454,140.17454545454547,17.980190066343912,872.9148717948717,-568.2994871794872,2.0307692307692307,802.1333333333333,70.78153846153847,291.1179487179487,13.497435897435926,2.0307692307692307,240.48,50.637948717948724,291.1179487179487,13.497435897435905,2.0307692307692307,240.48,50.637948717948724,93.88,56.12000000000001,90.99999999999999,2.8800000000000003,105.28461538461538,44.71538461538463,95.98,9.304615384615387,427.8,-277.8,398.32,29.480000000000004,132.89,17.110000000000014,112.45,20.44,132.89,17.110000000000007,112.45,20.44
36000,111.14092103974457,67.83951029362794,1.1932028755558166,108.58146167557933,2.5594593641652463,216.45738004378728,125.04122994351049,1.9047704331867226,191.3285709584533,25.128809085333973,1243.9036923076922,-809.8267692307693,2.893846153846154,1143.04,100.86369230769232,414.8430769230769,19.233846153846155,2.893846153846154,342.684,72.15907692307692,414.8430769230769,19.23384615384615,2.893846153846154,342.684,72.15907692307692,93.168,56.83200000000001,91.0,2.168,105.09076923076923,44.90923076923077,95.98000000000002,9.11076923076923,427.8,-277.8,398.32,29.48,132.89,17.110000000000003,112.45,20.44,132.89,17.110000000000003,112.45,20.44
40000,96.7579647803177,61.34011361187832,1.0539871892813069,95.91283422459892,0.8451305557187911,226.95223852065482,139.7702320705941,1.9878017909692118,200.35765528589056,26.59458323476423,1345.7437606837607,-876.1283760683759,3.1307692307692307,1236.622222222222,109.12153846153848,448.8068376068376,20.808547008546995,3.1307692307692307,370.74,78.06683760683762,448.8068376068376,20.80854700854701,3.1307692307692307,370.74,78.06683760683762,91.76799999999999,58.23200000000001,90.99999999999999,0.768,104.66,45.34,95.98,8.680000000000001,427.8,-277.8,398.32,29.480000000000004,132.89,17.11,112.45,20.44,132.89,17.110000000000007,112.45,20.44
45000,104.22463144698438,66.18113925290395,1.1360384713325888,103.3795008912656,0.8451305557187911,245.30272468406403,151.4023530436381,2.1509791264542395,216.65971589195118,28.643008792112866,1450.9554871794871,-944.5708717948718,3.375897435897436,1333.8733333333332,117.08215384615386,483.29435897435894,23.09025641025641,3.375897435897436,399.47066666666666,83.82369230769231,483.29435897435894,23.090256410256412,3.375897435897436,399.47066666666666,83.82369230769231,91.76800000000001,58.232000000000006,91.00000000000001,0.768,104.66,45.34,95.98000000000002,8.68,427.8,-277.8,398.32,29.48,132.89,17.11,112.45,20.44,132.89,17.11,112.45,20.44
50000,110.75796478031772,70.4170366888014,1.2078333431274608,109.91283422459892,0.8451305557187911,255.6549556326027,160.51298401949987,2.267810670978092,226.45179670003202,29.203158932570698,1521.5001709401708,-990.3463247863248,3.541025641025641,1400.2955555555557,121.20461538461538,505.1391452991453,26.01470085470086,3.541025641025641,418.1933333333334,86.94581196581197,505.1391452991453,26.01470085470086,3.541025641025641,418.1933333333334,86.94581196581197,91.768,58.232000000000006,91.0,0.768,104.29846153846154,45.70153846153846,95.68,8.618461538461538,427.8,-277.8,398.32,29.48,132.89,17.110000000000003,112.45,20.44,132.89,17.110000000000003,112.45,20.44
60000,121.02463144698437,77.07344694521166,1.3206538559479735,120.17950089126559,0.8451305557187911,272.7936065201767,176.1288179633338,2.462475834874025,242.5480702043055,30.245536315871156,1633.6718500986194,-1064.4351637080867,3.797541091387245,1504.3286153846154,129.34323471400396,538.5555555555555,31.52136752136753,3.8005128205128207,451.94800000000004,86.60755555555556,539.4666666666666,30.61025641025642,3.8005128205128207,447.61466666666666,91.852,91.768,58.232000000000006,91.0,0.768,103.64453846153846,46.35546153846154,95.155,8.489538461538462,428.2781538461538,-278.2781538461538,398.472,29.806153846153848,132.726,17.274000000000004,113.23,19.496000000000002,132.89,17.110000000000003,112.45,20.44
65000,124.5246314469844,79.34267771444242,1.359115394409512,123.67950089126562,0.8451305557187911,277.6326380335351,181.3108231056274,2.5244734526408736,247.16668034416566,30.465957689369457,1665.5915394477317,-1086.2439063116371,3.862975016436555,1538.3943205128205,127.19721893491125,539.9018696581196,39.69428418803419,3.8639743589743594,450.13175,89.77011965811967,547.0629807692308,32.533173076923084,3.8639743589743594,454.2484166666666,92.8145641025641,91.768,58.232000000000006,91.0,0.768,103.37107692307691,46.62892307692307,94.94800000000001,8.423076923076923,428.98153846153843,-278.98153846153843,399.84,29.141538461538463,131.601,18.399,111.709,19.892000000000003,132.89,17.110000000000003,112.45,20.44
70000,127.09129811365106,81.00678027854498,1.3873205226146401,126.24616755793227,0.8451305557187911,281.4730584806094,185.24223979577488,2.5719995163207834,250.7982829082682,30.674775572341186,1683.6729069690994,-1097.9791199868507,3.9052827087442474,1555.5420982905982,128.13080867850098,544.7775961538462,41.16471153846155,3.9062820512820515,454.42175000000003,90.35584615384616,551.9387072649572,34.003600427350435,3.9062820512820515,458.53841666666665,93.40029059829061,91.768,58.232000000000006,91.0,0.768,103.18876923076922,46.81123076923077,94.81,8.37876923076923,428.98153846153843,-278.98153846153843,399.84,29.141538461538463,131.601,18.399000000000004,111.70899999999999,19.892000000000003,132.89,17.110000000000003,112.45,20.44
75000,128.72463144698438,82.06575463751935,1.4052692405633582,127.8795008912656,0.8451305557187911,285.0769610566658,187.8266553118827,2.6063853868605,254.03508943507475,31.04187162159108,1695.2528067061144,-1106.3008249272095,3.928958392035315,1565.033175824176,130.2196308819386,547.8803311965812,42.10043803418804,3.9332051282051284,457.15175,90.7285811965812,555.0414423076924,34.939326923076926,3.9332051282051284,461.26841666666667,93.77302564102565,91.768,58.232000000000006,91.0,0.768,103.18876923076922,46.81123076923077,94.81,8.37876923076923,429.2583076923077,-279.2583076923077,399.818,29.440307692307695,131.601,18.399,111.709,19.892000000000003,132.89,17.11,112.45,20.44
