test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_nodes,multi_func_max_users_avg_modules,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users,single_func_nodes,single_func_avg_modules,multi_func_min_cost_cost_per_user,multi_func_min_cost_profit_per_user,multi_func_min_cost_deploy_cost_per_user,multi_func_min_cost_comm_cost_per_user,multi_func_profit_cost_per_user,multi_func_profit_profit_per_user,multi_func_profit_deploy_cost_per_user,multi_func_profit_comm_cost_per_user,multi_func_worst_profit_cost_per_user,multi_func_worst_profit_profit_per_user,multi_func_worst_profit_deploy_cost_per_user,multi_func_worst_profit_comm_cost_per_user,multi_func_max_users_cost_per_user,multi_func_max_users_profit_per_user,multi_func_max_users_deploy_cost_per_user,multi_func_max_users_comm_cost_per_user,single_func_cost_per_user,single_func_profit_per_user,single_func_deploy_cost_per_user,single_func_comm_cost_per_user
1,350,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,265.64102564102564,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,439.3162393162393,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-112.13675213675208,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,439.3162393162393,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,439.3162393162393,1.709401709401709,2,1.0,90.99999999999999,259.0,90.99999999999999,0.0,93.0,257.00000000000006,91.00000000000001,2.0,415.6,-65.59999999999998,405.6,10.000000000000002,93.0,257.00000000000006,91.00000000000001,2.0,93.0,257.00000000000006,91.00000000000001,2.0
2,355,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,270.7692307692308,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,447.8632478632479,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-103.58974358974352,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,447.8632478632479,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,447.8632478632479,1.709401709401709,2,1.0,90.99999999999999,264.0,90.99999999999999,0.0,93.0,262.00000000000006,91.00000000000001,2.0,415.6,-60.59999999999997,405.6,10.000000000000002,93.0,262.00000000000006,91.00000000000001,2.0,93.0,262.00000000000006,91.00000000000001,2.0
3,360,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,275.89743589743586,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,456.4102564102564,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-95.042735042735,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,456.4102564102564,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,456.4102564102564,1.709401709401709,2,1.0,90.99999999999999,269.0,90.99999999999999,0.0,93.0,267.00000000000006,91.00000000000001,2.0,415.6,-55.59999999999999,405.6,10.000000000000002,93.0,267.00000000000006,91.00000000000001,2.0,93.0,267.00000000000006,91.00000000000001,2.0
4,365,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,281.025641025641,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,464.95726495726495,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-86.49572649572644,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,464.95726495726495,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,464.95726495726495,1.709401709401709,2,1.0,90.99999999999999,274.0,90.99999999999999,0.0,93.0,272.00000000000006,91.00000000000001,2.0,415.6,-50.59999999999998,405.6,10.000000000000002,93.0,272.00000000000006,91.00000000000001,2.0,93.0,272.00000000000006,91.00000000000001,2.0
5,370,13000000000,2,5,100,0.004,0.001,0.1,14000,40000,93.33333333333331,93.33333333333331,0,286.15384615384613,1.0256410256410255,1,2.0,158.97435897435895,155.55555555555554,3.418803418803418,473.5042735042735,1.709401709401709,2,1.0,710.4273504273503,693.3333333333333,17.094017094017094,-77.9487179487179,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,473.5042735042735,1.709401709401709,2,1.0,158.97435897435895,155.55555555555554,3.418803418803418,473.5042735042735,1.709401709401709,2,1.0,90.99999999999999,279.0,90.99999999999999,0.0,93.0,277.00000000000006,91.00000000000001,2.0,415.6,-45.59999999999998,405.6,10.000000000000002,93.0,277.00000000000006,91.00000000000001,2.0,93.0,277.00000000000006,91.00000000000001,2.0
6,350,13000000000,2,5,100,0.004,0.001,0.1,14000,45000,98.0,98.0,0,278.9230769230769,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,461.28205128205127,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-117.74358974358972,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,461.28205128205127,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,461.28205128205127,1.794871794871795,2,1.0,91.0,259.0,91.0,0.0,93.0,257.0,91.0,2.0,415.59999999999997,-65.59999999999998,405.59999999999997,10.0,93.0,257.0,91.0,2.0,93.0,257.0,91.0,2.0
7,355,13000000000,2,5,100,0.004,0.001,0.1,14000,45000,98.0,98.0,0,284.30769230769226,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,470.2564102564103,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-108.76923076923072,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,470.2564102564103,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,470.2564102564103,1.794871794871795,2,1.0,91.0,264.0,91.0,0.0,93.0,262.0,91.0,2.0,415.59999999999997,-60.599999999999966,405.59999999999997,10.0,93.0,262.0,91.0,2.0,93.0,262.0,91.0,2.0
8,360,13000000000,2,5,100,0.004,0.001,0.1,14000,45000,98.0,98.0,0,289.6923076923077,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,479.2307692307693,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-99.79487179487172,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,479.2307692307693,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,479.2307692307693,1.794871794871795,2,1.0,91.0,269.0,91.0,0.0,93.0,267.0,91.0,2.0,415.59999999999997,-55.59999999999996,405.59999999999997,10.0,93.0,267.0,91.0,2.0,93.0,267.0,91.0,2.0
9,365,13000000000,2,5,100,0.004,0.001,0.1,14000,45000,98.0,98.0,0,295.07692307692304,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,488.2051282051283,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-90.8205128205127,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,488.2051282051283,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,488.2051282051283,1.794871794871795,2,1.0,91.0,274.0,91.0,0.0,93.0,272.00000000000006,91.0,2.0,415.59999999999997,-50.59999999999993,405.59999999999997,10.0,93.0,272.00000000000006,91.0,2.0,93.0,272.00000000000006,91.0,2.0
10,370,13000000000,2,5,100,0.004,0.001,0.1,14000,45000,98.0,98.0,0,300.46153846153845,1.0769230769230769,1,2.0,166.92307692307693,163.33333333333334,3.58974358974359,497.1794871794872,1.794871794871795,2,1.0,745.9487179487179,728.0,17.94871794871795,-81.84615384615381,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,497.1794871794872,1.794871794871795,2,1.0,166.92307692307693,163.33333333333334,3.58974358974359,497.1794871794872,1.794871794871795,2,1.0,91.0,279.0,91.0,0.0,93.0,277.0,91.0,2.0,415.59999999999997,-45.59999999999998,405.59999999999997,10.0,93.0,277.0,91.0,2.0,93.0,277.0,91.0,2.0
